player,team,nation,pos,age,90s Playing Time,npxG Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Emmanuel Gyasi,Empoli,GHA,"DF,FW",29.0,20.9,0.17,0.05,0.07,0.23999999999999996,0.77,0.05999999999999999,41,10,14,3,15,4,3,60,17,5,17,40,21,212,351,187,11
Emmanuel Sabbi,Le Havre,USA,"FW,MF",25.0,17.6,0.14,0.17,0.08,0.32,1.65,0.1,36,10,9,3,38,16,20,101,19,19,12,26,37,272,260,106,5
Emran Soglo,Marseille,FRA,"MF,DF",18.0,1.2,0.07,0.83,0.13,0.2,0.83,1.0,3,2,1,1,1,1,1,8,1,1,0,2,2,18,30,14,8
Emre Can,Dortmund,GER,"MF,DF",29.0,21.7,0.029999999999999995,0.0,0.07,0.17,0.69,0.0,110,20,8,0,35,3,15,18,45,22,29,27,23,177,972,568,5
Eneko Ortiz,Alavés,ESP,DF,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,2,0,0
Enes Ünal,Bournemouth,TUR,"FW,MF",26.0,5.2,0.5723076923076924,0.3807692307692308,0.26769230769230773,0.8330769230769232,4.565384615384615,0.06230769230769231,8,8,2,0,6,1,4,35,4,1,11,15,14,99,78,21,8
Enso Gonzalez,Wolves,PAR,"MF,DF",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,4,0,0
Enzo Barrenechea,Frosinone,ARG,MF,22.0,31.2,0.02,0.0,0.05,0.07,0.64,0.0,155,25,8,0,10,0,8,24,42,27,51,32,52,205,1408,622,5
Enzo Ebosse,Udinese,CMR,DF,24.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,8,9,0
Enzo Fernández,Chelsea,ARG,MF,22.0,24.5,0.19,0.08,0.14,0.39,1.83,0.04,210,32,43,4,52,8,23,54,22,17,21,33,31,488,1209,442,5
